alpha,market,player_seasons,mae,baseline_mae,changed_team_mae
0.0,receptions,1760,1.1045876213711274,1.1045876213711274,1.0794528551613136
0.0,receiving,1760,14.049844782649762,14.049844782649762,13.830313338959755
0.05,receptions,1760,1.1010187995631464,1.1045876213711274,1.0742363613220607
0.05,receiving,1760,14.011933001397765,14.049844782649762,13.776502013559366
0.1,receptions,1760,1.0979225435133702,1.1045876213711274,1.069528764364368
0.1,receiving,1760,13.977353990907634,14.049844782649762,13.724158956573525
0.15,receptions,1760,1.0951762061344525,1.1045876213711274,1.0651135582097346
0.15,receiving,1760,13.948346861477608,14.049844782649762,13.674822544931573
0.2,receptions,1760,1.0927647328394714,1.1045876213711274,1.0608962578597585
0.2,receiving,1760,13.92533644829435,14.049844782649762,13.628784788162662
0.25,receptions,1760,1.0907046662241164,1.1045876213711274,1.0569464933041741
0.25,receiving,1760,13.906696559584308,14.049844782649762,13.582747031393751
0.3,receptions,1760,1.0887837928388013,1.1045876213711274,1.0530757613765112
0.3,receiving,1760,13.891216824048742,14.049844782649762,13.538494289374567
0.35,receptions,1760,1.0871117813045474,1.1045876213711274,1.049503752675609
0.35,receiving,1760,13.877871887681927,14.049844782649762,13.496278535963048
0.4,receptions,1760,1.0856949565820826,1.1045876213711274,1.0462120297138104
0.4,receiving,1760,13.868226827178544,14.049844782649762,13.455600564441843
0.45,receptions,1760,1.0849427796585664,1.1045876213711274,1.0433228087811584
0.45,receiving,1760,13.86202138305202,14.049844782649762,13.417596876013254
0.5,receptions,1760,1.0845365249149257,1.1045876213711274,1.0406721682081685
0.5,receiving,1760,13.858723852733279,14.049844782649762,13.38755292265543
0.55,receptions,1760,1.0844632892562007,1.1045876213711274,1.0387010023378338
0.55,receiving,1760,13.858408597884996,14.049844782649762,13.362274631497638
0.6,receptions,1760,1.0847373135515241,1.1045876213711274,1.0370962518020264
0.6,receiving,1760,13.865094233082692,14.049844782649762,13.350383770162905
0.65,receptions,1760,1.0854696760776752,1.1045876213711274,1.0358543413853
0.65,receiving,1760,13.876423866601664,14.049844782649762,13.340626037892939
0.7,receptions,1760,1.0869896132081847,1.1045876213711274,1.0356411920361241
0.7,receiving,1760,13.895365263362175,14.049844782649762,13.333295458229847
0.75,receptions,1760,1.0889645543299653,1.1045876213711274,1.035814823189783
0.75,receiving,1760,13.921130552707071,14.049844782649762,13.330373099272038
0.8,receptions,1760,1.091459977329396,1.1045876213711274,1.0365871083287739
0.8,receiving,1760,13.95081357703961,14.049844782649762,13.33184408418938
0.85,receptions,1760,1.094636430081984,1.1045876213711274,1.0377857196912563
0.85,receiving,1760,13.987017670837528,14.049844782649762,13.33945686605514
0.9,receptions,1760,1.0985477414925442,1.1045876213711274,1.039093754346758
0.9,receiving,1760,14.027222207771576,14.049844782649762,13.352783962104843
0.95,receptions,1760,1.103072145545253,1.1045876213711274,1.0405058941172882
0.95,receiving,1760,14.06976458953952,14.049844782649762,13.368554504639258
1.0,receptions,1760,1.1079982040336533,1.1045876213711274,1.0423882708259786
1.0,receiving,1760,14.115096802907345,14.049844782649762,13.387043930450217
